round,thompson_regret,eps_greedy_regret,thompson_opt_pick_rate,eps_greedy_opt_pick_rate
107,1.8899999999999988,3.069999999999995,0.16822429906542055,0.028037383177570093
108,1.8949999999999987,3.0999999999999948,0.16666666666666666,0.027777777777777776
109,1.8999999999999986,3.1299999999999946,0.1651376146788991,0.027522935779816515
110,1.9349999999999985,3.1599999999999944,0.16363636363636364,0.02727272727272727
111,1.9549999999999985,3.189999999999994,0.16216216216216217,0.02702702702702703
112,1.9599999999999984,3.219999999999994,0.16071428571428573,0.026785714285714284
113,1.9799999999999984,3.249999999999994,0.1592920353982301,0.02654867256637168
114,2.0099999999999985,3.2799999999999936,0.15789473684210525,0.02631578947368421
115,2.0149999999999983,3.3099999999999934,0.1565217391304348,0.02608695652173913
116,2.044999999999998,3.339999999999993,0.15517241379310345,0.02586206896551724
117,2.049999999999998,3.3749999999999933,0.15384615384615385,0.02564102564102564
118,2.049999999999998,3.404999999999993,0.16101694915254236,0.025423728813559324
119,2.054999999999998,3.434999999999993,0.15966386554621848,0.025210084033613446
120,2.059999999999998,3.4649999999999928,0.15833333333333333,0.025
121,2.079999999999998,3.4949999999999926,0.15702479338842976,0.024793388429752067
122,2.0849999999999977,3.5299999999999927,0.1557377049180328,0.02459016393442623
123,2.119999999999998,3.5599999999999925,0.15447154471544716,0.024390243902439025
124,2.124999999999998,3.5899999999999923,0.1532258064516129,0.024193548387096774
125,2.124999999999998,3.619999999999992,0.16,0.024
126,2.1299999999999977,3.649999999999992,0.15873015873015872,0.023809523809523808
127,2.164999999999998,3.6799999999999917,0.15748031496062992,0.023622047244094488
128,2.199999999999998,3.714999999999992,0.15625,0.0234375
129,2.204999999999998,3.7449999999999917,0.15503875968992248,0.023255813953488372
130,2.2349999999999977,3.7749999999999915,0.15384615384615385,0.023076923076923078
131,2.2399999999999975,3.8049999999999913,0.15267175572519084,0.022900763358778626
132,2.2449999999999974,3.834999999999991,0.15151515151515152,0.022727272727272728
133,2.2799999999999976,3.864999999999991,0.15037593984962405,0.022556390977443608
134,2.2849999999999975,3.8949999999999907,0.14925373134328357,0.022388059701492536
135,2.2899999999999974,3.9249999999999905,0.14814814814814814,0.022222222222222223
136,2.3249999999999975,3.9549999999999903,0.14705882352941177,0.022058823529411766
137,2.3549999999999973,3.98499999999999,0.145985401459854,0.021897810218978103
138,2.3749999999999973,4.01499999999999,0.14492753623188406,0.021739130434782608
139,2.3749999999999973,4.04499999999999,0.1510791366906475,0.02158273381294964
140,2.3799999999999972,4.07499999999999,0.15,0.02142857142857143
141,2.384999999999997,4.104999999999991,0.14893617021276595,0.02127659574468085
142,2.389999999999997,4.134999999999991,0.14788732394366197,0.02112676056338028
143,2.394999999999997,4.164999999999991,0.14685314685314685,0.02097902097902098
144,2.399999999999997,4.194999999999991,0.14583333333333334,0.020833333333333332
145,2.4049999999999967,4.224999999999992,0.14482758620689656,0.020689655172413793
146,2.4049999999999967,4.254999999999992,0.1506849315068493,0.02054794520547945
147,2.4249999999999967,4.284999999999992,0.14965986394557823,0.02040816326530612
148,2.4299999999999966,4.314999999999992,0.14864864864864866,0.02027027027027027
149,2.4349999999999965,4.344999999999993,0.1476510067114094,0.020134228187919462
150,2.4399999999999964,4.374999999999993,0.14666666666666667,0.02
151,2.4749999999999965,4.3949999999999925,0.1456953642384106,0.019867549668874173
152,2.4799999999999964,4.424999999999993,0.14473684210526316,0.019736842105263157
153,2.4849999999999963,4.454999999999993,0.1437908496732026,0.0196078431372549
154,2.489999999999996,4.484999999999993,0.14285714285714285,0.01948051948051948
155,2.489999999999996,4.5149999999999935,0.14838709677419354,0.01935483870967742
156,2.5099999999999962,4.544999999999994,0.14743589743589744,0.019230769230769232
157,2.514999999999996,4.574999999999994,0.1464968152866242,0.01910828025477707
158,2.534999999999996,4.604999999999994,0.14556962025316456,0.0189873417721519
159,2.564999999999996,4.6349999999999945,0.14465408805031446,0.018867924528301886
160,2.569999999999996,4.654999999999994,0.14375,0.01875
161,2.604999999999996,4.684999999999994,0.14285714285714285,0.018633540372670808
162,2.609999999999996,4.7149999999999945,0.1419753086419753,0.018518518518518517
163,2.609999999999996,4.744999999999995,0.147239263803681,0.018404907975460124
164,2.6149999999999958,4.774999999999995,0.14634146341463414,0.018292682926829267
165,2.6449999999999956,4.804999999999995,0.14545454545454545,0.01818181818181818
166,2.6449999999999956,4.804999999999995,0.15060240963855423,0.024096385542168676
167,2.6749999999999954,4.8349999999999955,0.1497005988023952,0.023952095808383235
168,2.6749999999999954,4.864999999999996,0.15476190476190477,0.023809523809523808
169,2.6799999999999953,4.894999999999996,0.15384615384615385,0.023668639053254437
170,2.684999999999995,4.924999999999996,0.15294117647058825,0.023529411764705882
171,2.684999999999995,4.9549999999999965,0.15789473684210525,0.023391812865497075
172,2.689999999999995,4.984999999999997,0.1569767441860465,0.023255813953488372
173,2.689999999999995,5.014999999999997,0.16184971098265896,0.023121387283236993
174,2.694999999999995,5.044999999999997,0.16091954022988506,0.022988505747126436
175,2.694999999999995,5.0749999999999975,0.1657142857142857,0.022857142857142857
176,2.694999999999995,5.104999999999998,0.17045454545454544,0.022727272727272728
177,2.699999999999995,5.134999999999998,0.1694915254237288,0.022598870056497175
